Date,Close
27/9/13,134.78
28/9/13,137.34
29/9/13,133
30/9/13,132.18
1/10/13,114.13
2/10/13,123.63
3/10/13,129.01
4/10/13,128.55
5/10/13,129
6/10/13,126.94
7/10/13,126
8/10/13,130.69
9/10/13,130.59
10/10/13,130.9
11/10/13,135.19
12/10/13,138.13
13/10/13,140.52
14/10/13,145.24
15/10/13,142.55
16/10/13,146.25
17/10/13,155.96
18/10/13,172.42
19/10/13,174.61
20/10/13,182.21
21/10/13,193.76
22/10/13,213.62
23/10/13,198.23
24/10/13,186.69
25/10/13,177.32
26/10/13,196.44
27/10/13,198.55
28/10/13,204.39
29/10/13,199.97
30/10/13,204
31/10/13,206.18
1/11/13,206.22
2/11/13,215.05
3/11/13,229.1
4/11/13,245.24
5/11/13,262.5
6/11/13,296.41
7/11/13,338.11
8/11/13,339.11
9/11/13,326.62
10/11/13,342.44
11/11/13,360.33
12/11/13,407.37
13/11/13,420.2
14/11/13,417.95
15/11/13,440.22
16/11/13,492.11
17/11/13,703.56
18/11/13,584.61
19/11/13,590.83
20/11/13,722.43
21/11/13,771.44
22/11/13,797.82
23/11/13,774.25
24/11/13,799.11
25/11/13,928.1
26/11/13,1001.96
27/11/13,1031.95
28/11/13,1131.97
29/11/13,1129.43
30/11/13,955.85
1/12/13,1043.33
2/12/13,1078.28
3/12/13,1151.17
4/12/13,1045.11
5/12/13,829.45
6/12/13,698.23
7/12/13,795.87
8/12/13,893.19
9/12/13,988.51
10/12/13,878.48
11/12/13,873.26
12/12/13,892.58
13/12/13,872.6
14/12/13,876.12
15/12/13,705.97
16/12/13,682.12
17/12/13,522.7
18/12/13,691.96
19/12/13,625.32
20/12/13,605.66
21/12/13,617.18
22/12/13,673.41
23/12/13,665.58
24/12/13,682.21
25/12/13,761.98
26/12/13,735.07
27/12/13,727.83
28/12/13,745.05
29/12/13,756.13
30/12/13,754.01
31/12/13,771.4
1/1/14,802.39
2/1/14,818.72
3/1/14,859.51
4/1/14,933.53
5/1/14,953.29
6/1/14,802
7/1/14,842.72
8/1/14,846.86
9/1/14,868.48
10/1/14,913.95
11/1/14,863.22
12/1/14,841.2
13/1/14,833.27
14/1/14,860.9
15/1/14,835.63
16/1/14,814.64
17/1/14,840
18/1/14,870.96
19/1/14,870.2
20/1/14,863.91
21/1/14,845.59
22/1/14,822.04
23/1/14,797.07
24/1/14,853.61
25/1/14,885.28
26/1/14,771.39
27/1/14,812.51
28/1/14,826
29/1/14,819.03
30/1/14,829.92
31/1/14,832.58
1/2/14,825.37
2/2/14,823.83
3/2/14,827.96
4/2/14,811.91
5/2/14,781.55
6/2/14,712.4
7/2/14,673.92
8/2/14,682.9
9/2/14,681.03
10/2/14,672.17
11/2/14,651.72
12/2/14,605.24
13/2/14,661.99
14/2/14,650.92
15/2/14,616.63
16/2/14,626.27
17/2/14,626.6
18/2/14,623.03
19/2/14,556.14
20/2/14,574.16
21/2/14,605.42
22/2/14,605.82
23/2/14,546.32
24/2/14,538.71
25/2/14,582.69
26/2/14,578.77
27/2/14,549.26
28/2/14,565.61
1/3/14,559.79
2/3/14,667.76
3/3/14,666.78
4/3/14,665.51
5/3/14,663.86
6/3/14,629.15
7/3/14,617.45
8/3/14,636.96
9/3/14,627.79
10/3/14,634.11
11/3/14,632.1
12/3/14,638.14
13/3/14,628.8
14/3/14,636.12
15/3/14,631.11
16/3/14,622.37
17/3/14,614.83
18/3/14,609.89
19/3/14,588.77
20/3/14,571.49
21/3/14,565.04
22/3/14,561.27
23/3/14,583.41
24/3/14,583.92
25/3/14,580.83
26/3/14,471.24
27/3/14,495.67
28/3/14,491.17
29/3/14,460.27
30/3/14,457
31/3/14,478.38
1/4/14,437.14
2/4/14,444.72
3/4/14,447.53
4/4/14,461.91
5/4/14,460.5
6/4/14,449.42
7/4/14,453.09
8/4/14,442.73
9/4/14,365.18
10/4/14,420.95
11/4/14,421.12
12/4/14,414.06
13/4/14,458.79
14/4/14,515.59
15/4/14,527.39
16/4/14,495.96
17/4/14,479.64
18/4/14,501.56
19/4/14,498.17
20/4/14,495.77
21/4/14,487.92
22/4/14,491.3
23/4/14,500.46
24/4/14,461.45
25/4/14,458.6
26/4/14,436.39
27/4/14,440.29
28/4/14,447.21
29/4/14,447.64
30/4/14,457.76
1/5/14,449.38
2/5/14,437.76
3/5/14,436.4
4/5/14,433.48
5/5/14,428.96
6/5/14,438.82
7/5/14,440.17
8/5/14,449.46
9/5/14,454.43
10/5/14,438.89
11/5/14,441.46
12/5/14,440.67
13/5/14,443.97
14/5/14,447.25
15/5/14,448.06
16/5/14,448.9
17/5/14,446.26
18/5/14,446.18
19/5/14,485.72
20/5/14,491.77
21/5/14,524.58
22/5/14,520.22
23/5/14,525.14
24/5/14,571.59
25/5/14,583.42
26/5/14,571.24
27/5/14,577.06
28/5/14,568.18
29/5/14,615.33
30/5/14,623.68
31/5/14,630.23
1/6/14,660.62
2/6/14,667.61
3/6/14,641.61
4/6/14,659.26
5/6/14,653.7
6/6/14,654.97
7/6/14,656.14
8/6/14,649.16
9/6/14,653.15
10/6/14,633.02
11/6/14,586.95
12/6/14,600.16
13/6/14,577.36
14/6/14,592.94
15/6/14,592.19
16/6/14,610.86
17/6/14,607.96
18/6/14,598.07
19/6/14,594.15
20/6/14,594.99
21/6/14,602.27
22/6/14,593.98
23/6/14,582.36
24/6/14,566.34
25/6/14,581.14
26/6/14,597.26
27/6/14,596.55
28/6/14,602.72
29/6/14,639.8
30/6/14,640.81
1/7/14,650.88
2/7/14,645.16
3/7/14,630.69
4/7/14,631.46
5/7/14,635.81
6/7/14,624.09
7/7/14,624.82
8/7/14,624.51
9/7/14,616.76
10/7/14,632
11/7/14,633.71
12/7/14,626.5
13/7/14,619.32
14/7/14,621.59
15/7/14,616.8
16/7/14,623.09
17/7/14,628.78
18/7/14,628.51
19/7/14,623.9
20/7/14,622.21
21/7/14,621.55
22/7/14,619.41
23/7/14,601.73
24/7/14,601.09
25/7/14,595.81
26/7/14,593.85
27/7/14,585.69
28/7/14,584.73
29/7/14,567.29
30/7/14,586.24
31/7/14,594.92
1/8/14,589.33
2/8/14,586.67
3/8/14,588.78
4/8/14,585.44
5/8/14,584.65
6/8/14,588.87
7/8/14,592.58
8/8/14,589.37
9/8/14,591.06
10/8/14,576.37
11/8/14,569.64
12/8/14,546.66
